Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/accounts/login/,30,0,1900.0,3419.963436666876,662.9521999857388,6159.036199998809,4075.0,0.10036328308890614,0.0,5200,5300,5400,5400,6100,6100,6200,6200,6200,6200,6200
POST,/accounts/login/,30,0,6000.0,6212.659106670374,2304.0129000146408,8648.524699994596,10557.0,0.10036328308890614,0.0,7200,7200,7400,7400,8600,8600,8600,8600,8600,8600,8600
GET,/api/equipment/,1323,0,51,153.76212426305707,25.77089998521842,5352.523499983363,5604.0,4.426020784220761,0.0,51,81,110,140,340,620,990,1600,5100,5400,5400
GET,/api/rents/,865,865,54,160.95842242825,27.11330002057366,6821.136100013973,35132.0,2.893807995730127,2.893807995730127,54,82,110,140,360,620,1000,1500,6800,6800,6800
POST,/api/rents/,465,465,61,157.8737167739159,28.145699994638562,4017.9206000175327,35133.0,1.5556308878780452,1.5556308878780452,61,95,130,150,390,690,1200,1300,4000,4000,4000
GET,/maintenance/,454,0,95,174.23695044121234,55.349000002024695,4018.8032999867573,30287.0,1.518831017412113,0.0,95,130,150,170,350,630,810,1200,4000,4000,4000
GET,/prometheus/metrics,426,0,86,191.68078286378991,44.42269998253323,5573.736699996516,75484.79812206572,1.4251586198624673,0.0,87,120,160,180,370,560,1200,1600,5600,5600,5600
GET,/rents/,442,0,120.0,216.06553619876567,69.32190002407879,5677.501999976812,42299.0,1.4786857041765504,0.0,120,150,190,220,470,690,930,1500,5700,5700,5700
,Aggregated,4035,1330,77,238.24209080559814,25.77089998521842,8648.524699994596,29537.064931846344,13.498861575457875,4.449438883608172,77,110,140,170,430,730,1600,5300,8600,8600,8600
