Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764550905,30,,Aggregated,13.600000,4.000000,630,1500,3400,5200,6000,7200,8600,8600,8600,8600,8600,228,54,630.0,1913.623045615902,29.07660001073964,8648.524699994596,24985.214912280702
1764550906,30,,Aggregated,14.200000,4.500000,550,1200,2600,4400,6000,7200,8600,8600,8600,8600,8600,240,57,540.0,1820.7691904185292,29.07660001073964,8648.524699994596,24931.820833333335
1764550907,30,,Aggregated,13.400000,4.400000,380,1100,2300,4000,5900,7200,7400,8600,8600,8600,8600,257,64,380.0,1705.8206070053702,29.07660001073964,8648.524699994596,25398.93385214008
1764550908,30,,Aggregated,13.700000,4.600000,330,900,1900,3500,5800,7200,7400,8600,8600,8600,8600,272,68,300.0,1617.7343095604394,29.07660001073964,8648.524699994596,24967.191176470587
1764550909,30,,Aggregated,13.500000,4.600000,300,780,1800,3400,5800,7200,7400,8600,8600,8600,8600,284,73,290.0,1558.9606355650074,29.07660001073964,8648.524699994596,25317.25352112676
1764550910,30,,Aggregated,14.200000,4.700000,270,750,1600,2500,5800,6800,7400,8600,8600,8600,8600,301,80,270.0,1478.5972518287135,29.07660001073964,8648.524699994596,25598.179401993355
1764550911,30,,Aggregated,13.500000,4.100000,230,690,1500,2300,5800,6800,7400,8600,8600,8600,8600,316,86,230.0,1412.9377199384594,29.07660001073964,8648.524699994596,26028.645569620254
1764550912,30,,Aggregated,13.700000,4.300000,210,660,1200,1900,5700,6800,7400,8600,8600,8600,8600,329,91,210.0,1361.2351118561128,29.07660001073964,8648.524699994596,26292.136778115502
1764550913,30,,Aggregated,14.700000,4.300000,190,610,1200,1900,5400,6200,7400,8600,8600,8600,8600,341,95,190.0,1317.0475498552958,29.07660001073964,8648.524699994596,26582.774193548386
1764550914,30,,Aggregated,13.500000,4.500000,200,540,1100,1800,5400,6200,7400,8600,8600,8600,8600,353,97,200.0,1281.5569017015505,29.07660001073964,8648.524699994596,26616.43059490085
1764550915,30,,Aggregated,14.400000,4.700000,210,490,870,1600,5400,6100,7400,8600,8600,8600,8600,373,100,210.0,1227.7688324415087,29.07660001073964,8648.524699994596,26791.92493297587
1764550916,30,,Aggregated,14.100000,4.700000,220,460,860,1600,5400,6100,7400,8600,8600,8600,8600,379,102,220.0,1213.3657282339975,29.07660001073964,8648.524699994596,27086.952506596306
1764550917,30,,Aggregated,14.100000,4.500000,250,520,770,1500,5300,6100,7400,8600,8600,8600,8600,394,108,240.0,1189.7467898496996,29.07660001073964,8648.524699994596,27509.972081218275
1764550918,30,,Aggregated,13.900000,4.300000,240,490,750,1200,5300,6100,7400,8600,8600,8600,8600,408,113,240.0,1155.7943465704739,29.07660001073964,8648.524699994596,27643.924019607843
1764550919,30,,Aggregated,13.100000,4.000000,220,460,730,1200,5300,6100,7400,8600,8600,8600,8600,421,117,220.0,1121.4853890755628,28.796799975680187,8648.524699994596,27243.90973871734
1764550920,30,,Aggregated,13.600000,4.600000,210,430,710,1100,5200,6100,7400,8600,8600,8600,8600,436,123,210.0,1084.3944662861893,28.78170000622049,8648.524699994596,26962.38532110092
1764550921,30,,Aggregated,13.300000,4.400000,190,390,690,1000,5200,6000,7400,8600,8600,8600,8600,448,126,190.0,1057.8544305820808,28.78170000622049,8648.524699994596,27072.977678571428
1764550922,30,,Aggregated,13.700000,4.200000,180,380,660,900,5100,6000,7300,8600,8600,8600,8600,464,133,180.0,1025.9465758637566,28.78170000622049,8648.524699994596,27246.407327586207
1764550923,30,,Aggregated,13.300000,4.400000,170,360,630,780,4000,5900,7300,8600,8600,8600,8600,481,140,170.0,993.865043868547,28.78170000622049,8648.524699994596,27329.216216216217
1764550924,30,,Aggregated,13.500000,4.100000,160,350,590,770,4000,5900,7300,8600,8600,8600,8600,492,146,160.0,973.6429201234942,28.78170000622049,8648.524699994596,27662.420731707316
1764550925,30,,Aggregated,13.800000,4.700000,160,330,580,770,4000,5900,7200,7400,8600,8600,8600,505,151,160.0,951.0673572292026,28.78170000622049,8648.524699994596,27695.653465346535
1764550926,30,,Aggregated,13.500000,4.500000,160,350,560,750,4000,5900,7200,7400,8600,8600,8600,517,154,160.0,939.4654564812106,28.78170000622049,8648.524699994596,27949.191489361703
1764550927,30,,Aggregated,13.500000,4.900000,160,350,540,730,4000,5800,7200,7400,8600,8600,8600,530,160,160.0,921.288848869318,28.78170000622049,8648.524699994596,27913.730188679245
1764550928,30,,Aggregated,13.200000,5.100000,160,340,520,700,3500,5800,7200,7400,8600,8600,8600,547,166,160.0,895.6825091420878,28.78170000622049,8648.524699994596,28024.04204753199
1764550929,30,,Aggregated,14.400000,5.700000,150,320,500,690,3400,5800,7200,7400,8600,8600,8600,562,171,150.0,874.2362220652088,28.78170000622049,8648.524699994596,27885.400355871887
